Text,Phonetic,Meaning,Example,DifficultyLevel
authentic,/ɔːˈθentɪk/,adj. 真正的,I don't know if the painting is authentic.,4
author,/ˈɔːθə(r)/,n. 作者,Who is your favourite author?,1
authority,/ɔːˈθɒrəti/,n. 权威,in a position of authority,2
authorize,/ˈɔːθəraɪz/,v. 授权,"authorize something, I can authorize payments up to £5 000.",4
auto,/ˈɔːtəʊ/,n. 汽车,the auto industry,4
automatic,/ˌɔːtəˈmætɪk/,adj. 自动的,automatic doors,3
automatically,/ˌɔːtəˈmætɪkli/,adv. 自动地,The heating switches off automatically.,3
autonomy,/ɔːˈtɒnəmi/,n. 自治,a campaign in Wales for greater autonomy,4
autumn,/ˈɔːtəm/,n. 秋天,"in the autumn of something, in the autumn of 2010",1
availability,/əˌveɪləˈbɪləti/,n. 可用性,the availability of cheap flights,4
available,/əˈveɪləbl/,adj. 可用的,available resources/data,1
average,/ˈævərɪdʒ/,adj. 平均的,The average age of participants was 52 years.,1
avoid,/əˈvɔɪd/,v. 避免,"avoid something, to avoid conflict/confrontation",1
await,/əˈweɪt/,v. 等待,He is in custody awaiting trial.,4
award,/əˈwɔːd/,n. 奖,He was nominated for the best actor award.,1
aware,/əˈweə(r)/,adj. 意识到的,"As you're aware, this is not a new problem.",2
awareness,/əˈweənəs/,n. 意识,"awareness of something, an awareness of the importance of eating a healthy diet",3
away,/əˈweɪ/,adv. 离开,The beach is a mile away.,1
awful,/ˈɔːfl/,adj. 可怕,That's an awful colour.,1
awkward,/ˈɔːkwəd/,adj. 尴尬的,There was an awkward silence.,3
baby,/ˈbeɪbi/,n. 婴儿,The baby's crying!,1
back,/bæk/,adj. 后退,We were sitting in the back row,1
backdrop,/ˈbækdrɒp/,n. 背景,The mountains provided a dramatic backdrop for our picnic.,4
background,/ˈbækɡraʊnd/,n. 背景,somebody's ethnic/genetic/cultural background ,1
backing,/ˈbækɪŋ/,n. 后盾,The police gave the proposals their full backing.,4
backup,/ˈbækʌp/,n. 备份,The police had backup from the army.,4
backwards,/ˈbækwədz/,adv. 向后,I lost my balance and fell backwards.,2
bacteria,/bækˈtɪəriə/,n. 细菌,Neither chilling nor freezing kills all bacteria.,3
bad,/bæd/,adj. 坏的,"I have some bad news for you, I'm afraid.",1
badge,/bædʒ/,n. 徽章,She wore a badge saying ‘Vote for Coates’.,3
badly,/ˈbædli/,adv. 严重地,to play/sing badly,1
bag,/bæɡ/,n. 包,He was carrying a heavy bag of groceries.,1
bail,/beɪl/,n. 保释,Can anyone put up bail for you?,4
bake,/beɪk/,v. 烤,"bake (something), to bake bread/biscuits/cookies",2
balance,/ˈbæləns/,n. 平衡,This newspaper maintains a good balance in its presentation of different opinions.,2
balanced,/ˈbælənst/,adj. 均衡,The programme presented a balanced view of the two sides of the conflict.,3
ball,/bɔːl/,n. 球,a golf/tennis/bowling/soccer ball ,1
ballet,/ˈbæleɪ/,n. 芭蕾舞,She wants to be a ballet dancer.,3
balloon,/bəˈluːn/,n. 气球,to blow up/burst/pop a balloon,3
ballot,/ˈbælət/,n. 选票,The chairperson is chosen by secret ballot.,4
ban,/bæn/,n. 禁止,a smoking ban,2
banana,/bəˈnɑːnə/,n. 香蕉,a bunch of bananas,1
band,/bænd/,n. 乐队,a rock/punk/jazz band ,1
bank,/bæŋk/,n. 银行,I don't have much money in the bank at the end of the month.,1
banner,/ˈbænə(r)/,n. 横幅,A huge banner over the street said ‘Welcome home’.,4
bar,/bɑː(r)/,n. 酒吧,We arranged to meet in a bar called the Flamingo.,1
bare,/beə(r)/,adj. 裸,She likes to walk around in bare feet.,4
barely,/ˈbeəli/,adv. 仅仅,He could barely read and write.,3
bargain,/ˈbɑːɡən/,n. 便宜货,I picked up a few good bargains in the sale.,3
barrel,/ˈbærəl/,n. 桶,a beer/wine barrel,4
barrier,/ˈbæriə(r)/,n. 障碍,The crowd had to stand behind barriers.,3
base,/beɪs/,n. 根据,The lamp has a heavy base.,2
baseball,/ˈbeɪsbɔːl/,n. 棒球,a baseball bat/team/cap/fan/player/game,1
based,/beɪst/,adj. 基于,The movie is based on a real-life incident.,1
basement,/ˈbeɪsmənt/,n. 地下室,Kitchen goods are sold in the basement.,3
basic,/ˈbeɪsɪk/,adj. 基本的,basic information/facts/ideas,2
basically,/ˈbeɪsɪkli/,adv. 基本上,I think we are basically saying the same thing. ,3
basis,/ˈbeɪsɪs/,n. 基础,We are in contact on a regular basis.,2
basket,/ˈbɑːskɪt/,n. 篮子,a shopping basket,3
basketball,/ˈbɑːskɪtbɔːl/,n. 篮球,a basketball game/coach/team/player,1
bass,/beɪs/,n. 低音,He always plays his stereo with the bass turned right up.,4
bat,/bæt/,n. 蝙蝠,a baseball/cricket bat,3
bath,/bɑːθ/,n. 洗澡,I'm in the bath!,1
bathroom,/ˈbɑːθruːm/,n. 浴室,Go and wash your hands in the bathroom.,1
battery,/ˈbætri/,n. 电池,to replace the batteries,2
battle,/ˈbætl/,n. 战斗,Napoleon was defeated at the Battle of Waterloo.,2
battlefield,/ˈbætlfiːld/,n. 战场,heavy casualties on the battlefield,4
bay,/beɪ/,n. 湾,the Bay of Bengal,4
be,/bi/,v. 是,"+ noun, Today is Monday.",1
beach,/biːtʃ/,n. 海滩,"on the beach, tourists sunbathing on the beach",1
beam,/biːm/,n. 光束,narrow beams of light/sunlight,4
bean,/biːn/,n. 豆,green beans,1
bear,/beə(r)/,n. 熊,a black bear,1
beast,/biːst/,n. 兽,wild/savage/ferocious beasts,4
beat,/biːt/,n. 打,several loud beats on the drum,3
beautiful,/ˈbjuːtɪfl/,adj. 美丽的,a beautiful woman/girl,1
beauty,/ˈbjuːti/,n. 美丽,"beauty of something, the beauty of the sunset/of poetry/of his singing",2
because,/bɪˈkəz/,conj. 因为,I did it because he told me to.,1
become,/bɪˈkʌm/,v. 变得,"+ adj., It soon became apparent that no one was going to come.",1
bed,/bed/,n. 床,a single/double bed,1
bedroom,/ˈbedruːm/,n. 卧室,the spare/guest bedroom,1
bee,/biː/,n. 蜜蜂,Bees were buzzing in the clover.,2
beef,/biːf/,n. 牛肉,roast beef,1
beer,/bɪə(r)/,n. 啤酒,a pint/can/bottle of beer,1
before,/bɪˈfɔː(r)/,adv. 前,You should have told me so before.,1
beg,/beɡ/,v. 求,Now you have to beg and plead.,3
begin,/bɪˈɡɪn/,v. 开始,Shall I begin?,1
beginning,/bɪˈɡɪnɪŋ/,n. 开始,"A story has to have a beginning, middle, and end.",1
behalf,/bɪˈhɑːf/,n. 代表,He began a petition in behalf of the farmers.,4
behave,/bɪˈheɪv/,v. 表现,The doctor behaved very unprofessionally.,1
behaviour,/bɪˈheɪvjə(r)/,n. 行为,good/bad behaviour,1
behind,/bɪˈhaɪnd/,adv. 在后面,She rode off down the road with the dog running behind.,1
being,/ˈbiːɪŋ/,n. 存在,The Irish Free State came into being in 1922.,3
belief,/bɪˈliːf/,n. 信仰,"belief in something/somebody, I admire his passionate belief in what he is doing.",2
believe,/bɪˈliːv/,v. 相信,"believe somebody, I don't believe you!",1
bell,/bel/,n. 钟,A peal of church bells rang out in the distance.,2
belong,/bɪˈlɒŋ/,v. 属于,Where do these plates belong (= where are they kept)?,1
beloved,/bɪˈlʌvɪd/,adj. 心爱,"in memory of our dearly beloved son, John",4
below,/bɪˈləʊ/,adv. 以下,They live on the floor below.,1
belt,/belt/,n. 腰带,to do up/fasten/tighten a belt,1
bench,/bentʃ/,n. 长椅,a park bench,4
benchmark,/ˈbentʃmɑːk/,n. 基准,Tests at the age of seven provide a benchmark against which the child's progress at school can be measured.,4
bend,/bend/,n. 弯曲,a sharp bend in the road,2
beneath,/bɪˈniːθ/,prep. 下面,They found the body buried beneath a pile of leaves.,4
beneficial,/ˌbenɪˈfɪʃl/,adj. 有利,A good diet is beneficial to health.,3
beneficiary,/ˌbenɪˈfɪʃəri/,n. 受益人,Who will be the main beneficiary of the cuts in income tax?,4
benefit,/ˈbenɪfɪt/,n. 益处,Freedom of information brings great benefits. ,1
bent,/bent/,adj. 弯曲,a piece of bent wire,3
beside,/bɪˈsaɪd/,prep. 旁,He sat beside her all night.,3
besides,/bɪˈsaɪdz/,adv. 除了,"I don't really want to go. Besides, it's too late now.",3
best,/best/,adj. 最好的,That's the best movie I've ever seen!,1
bet,/bet/,n. 赌注,to win/lose a bet,3
betray,/bɪˈtreɪ/,v. 背叛,"betray somebody/something, He was offered money to betray his colleagues.",4
better,/ˈbetə(r)/,adj. 更好的,We're hoping for better weather tomorrow.,1
between,/bɪˈtwiːn/,adv. 之间,The house was near a park but there was a road in between.,1
beyond,/bɪˈjɒnd/,adv. 超过,Snowdon and the mountains beyond were covered in snow.,3
bias,/ˈbaɪəs/,n. 偏见,accusations of political bias in news programmes (= that reports are unfair and show favour to one political party),3
bicycle,/ˈbaɪsɪkl/,n. 自行车,He got on his bicycle and rode off.,1
bid,/bɪd/,n. 出价,"bid for something, A German firm launched a takeover bid for the company.",3
big,/bɪɡ/,adj. 大的,a big man/house/increase,1
bike,/baɪk/,n. 自行车,I used to ride my bike around the neighbourhood for hours.,1
bill,/bɪl/,n. 账单,the phone/electricity/gas bill,1
billion,/ˈbɪljən/,num. 十亿,Worldwide sales reached 2.5 billion.,1
bin,/bɪn/,n. 垃圾桶,a rubbish bin,1
bind,/baɪnd/,v. 绑定,"bind somebody/something to something, She was bound to a chair.",4
biography,/baɪˈɒɡrəfi/,n. 传,Boswell’s biography of Johnson,4
biological,/ˌbaɪəˈlɒdʒɪkl/,adj. 生物,the biological sciences,3
biology,/baɪˈɒlədʒi/,n. 生物学,a degree in biology,1
bird,/bɜːd/,n. 鸟,a bird’s nest with two eggs in it,1
birth,/bɜːθ/,n. 出生,"at birth, The baby weighed three kilos at birth.",1
birthday,/ˈbɜːθdeɪ/,n. 生日,Happy Birthday!,1
biscuit,/ˈbɪskɪt/,n. 饼干,a packet/tin of chocolate biscuits,1
bishop,/ˈbɪʃəp/,n. 主教,the Bishop of Oxford,4
bit,/bɪt/,n. 少量,These trousers are a bit tight.,1
bite,/baɪt/,n. 咬,The dog gave me a playful bite.,2
bitter,/ˈbɪtə(r)/,adj. 苦的,Black coffee leaves a bitter taste in the mouth.,3
bizarre,/bɪˈzɑː(r)/,adj. 奇异的,a bizarre situation/incident/story,4
black,/blæk/,adj. 黑色的,a shiny black car,1
blade,/bleɪd/,n. 刀刃,The machine comes with a plastic guard over the blade to protect the operator.,4
blame,/bleɪm/,n. 责备,Why do I always get the blame for everything that goes wrong?,3
blank,/blæŋk/,"empty, with nothing written, printed or recorded on it",Sign your name in the blank space below.,1
blanket,/ˈblæŋkɪt/,n. 毯子,It’s cold tonight—can I have another blanket?,3
blast,/blɑːst/,n. 爆炸,a bomb blast,4
bleed,/bliːd/,v. 流血,My finger's bleeding.,4
blend,/blend/,n. 混合,a blend of tea,4
bless,/bles/,v. 保佑,They brought the children to Jesus and he blessed them.,4
blessing,/ˈblesɪŋ/,n. 祝福,to pray for God’s blessing,4
blind,/blaɪnd/,adj. 瞎的,Doctors think he will go blind.,3
block,/blɒk/,n. 堵塞,The houses are made of concrete blocks with tin roofs.,2
blog,/blɒɡ/,n. 博客,This is a link to the museum's blog.,1
blonde,/blɒnd/,adj. 金发女郎,She had long blonde hair.,1
blood,/blʌd/,n. 血,He lost a lot of blood in the accident.,1
blow,/bləʊ/,n. 吹,She received a severe blow on the head.,3
blue,/bluː/,adj. 蓝色的,piercing blue eyes,1
board,/bɔːd/,n. 木板,"He had ripped up the carpet, leaving only the bare boards.",1
boast,/bəʊst/,v. 夸,"I don't want to boast, but I can actually speak six languages.",4
boat,/bəʊt/,n. 船,a rowing/sailing boat ,1
body,/ˈbɒdi/,n. 身体,The human body is a complex structure.,1
boil,/bɔɪl/,v. 熬,The water was bubbling and boiling away.,1
bold,/bəʊld/,adj. 大胆的,It was a bold move on their part to open a business in France.,3
bomb,/bɒm/,n. 炸弹,a bomb goes off/explodes,2
bombing,/ˈbɒmɪŋ/,n. 轰炸,recent bombings in major cities,3
bond,/bɒnd/,n. 纽带,the bond that links us,3
bone,/bəʊn/,any of the hard parts that form the skeleton of the body of a human or an animal,He survived the accident with no broken bones.,1
bonus,/ˈbəʊnəs/,n. 奖金,a £100 Christmas bonus,4
book,/bʊk/,n. 书,His desk was covered with piles of books.,1
booking,/ˈbʊkɪŋ/,n. 预订,a booking form/hall/clerk,3
boom,/buːm/,n. 繁荣,Living standards improved rapidly during the post-war boom.,4
boost,/buːst/,n. 促进,a great/tremendous/welcome boost,3
boot,/buːt/,n. 启动,"(British English), walking boots",1
border,/ˈbɔːdə(r)/,n. 边界,"I live in a small town in the US, near the Canadian border.",2
bored,/bɔːd/,adj. 无聊的,There was a bored expression on her face.,1
boring,/ˈbɔːrɪŋ/,adj. 无聊的,He's such a boring man!,1
born,/bɔːn/,v. 出生,I was born in 1976.,1
borrow,/ˈbɒrəʊ/,v. 借,"borrow something, Can I borrow your umbrella?",1
boss,/bɒs/,n. 老板,I'll ask my boss if I can have the day off.,1
both,/bəʊθ/,det. 两个都,Both women were French.,1
bother,/ˈbɒðə(r)/,v. 打扰,"‘Shall I wait?’ ‘No, don't bother’.",2
bottle,/ˈbɒtl/,n. 瓶子,a wine/beer/milk/water bottle,1
bottom,/ˈbɒtəm/,adj. 底部,your bottom lip ,1
bounce,/baʊns/,"if something bounces or you bounce it, it moves quickly away from a surface it has just hit or you make it do this",The ball bounced twice before he could reach it.,4
bound,/baʊnd/,adj. 边界,There are bound to be changes when the new system is introduced.,3
boundary,/ˈbaʊndri/,n. 边界,After the war the national boundaries were redrawn.,4
bow,/baʊ/,n. 弓,She gave a slight bow of her head in greeting.,4
bowl,/bəʊl/,"a deep round dish with a wide open top, used especially for holding food or liquid",a salad/fruit/sugar bowl ,1
box,/bɒks/,n. 盒子,"in a box, Everything we owned was neatly packed in cardboard boxes.",1
boy,/bɔɪ/,n. 男生,a little/small/young boy,1
boyfriend,/ˈbɔɪfrend/,n. 男朋友,She's got a new boyfriend.,1
brain,/breɪn/,n. 脑,The human brain is a complex organ.,1
branch,/brɑːntʃ/,n. 分支,She climbed the tree and hid in the branches.,2
brand,/brænd/,n. 品牌,a well-known brand of toothpaste,2
brave,/breɪv/,adj. 勇敢的,brave men and women,2
breach,/briːtʃ/,n. 违反,a breach of contract/copyright/warranty,4
bread,/bred/,n. 面包,a loaf/slice/piece of bread,1
break,/breɪk/,n. 休息,She was on her lunch break.,1
breakdown,/ˈbreɪkdaʊn/,n. 分解,a breakdown on the motorway,4
breakfast,/ˈbrekfəst/,n. 早餐,They were having breakfast when I arrived.,1
breakthrough,/ˈbreɪkθruː/,n. 突破,to make/achieve a breakthrough,4
breast,/brest/,n. 胸部,She put the baby to her breast.,3
breath,/breθ/,n. 气息,His breath smelt of garlic.,2
breathe,/briːð/,v. 呼吸,He breathed deeply before speaking again.,2
breathing,/ˈbriːðɪŋ/,n. 呼吸,Her breathing became steady and she fell asleep.,2
breed,/briːd/,n. 品种,Labradors and other large breeds of dog,4
brick,/brɪk/,"baked clay used for building walls, houses and other buildings; an individual block of this",The school is built of brick.,3
bride,/braɪd/,n. 新娘,a toast to the bride and groom,2
bridge,/brɪdʒ/,n. 桥,We crossed the bridge over the River Windrush.,1
brief,/briːf/,adj. 简短的,a brief visit/meeting/conversation,3
briefly,/ˈbriːfli/,adv. 简要地,He had spoken to Emma only briefly.,3
bright,/braɪt/,adj. 明亮的,bright light/sunshine,1
brilliant,/ˈbrɪliənt/,adj. 杰出的,What a brilliant idea!,1
bring,/brɪŋ/,v. 带来,"bring somebody/something (with you), Don't forget to bring your books with you.",1
broad,/brɔːd/,adj. 广阔,a broad street/avenue/river,3
broadband,/ˈbrɔːdbænd/,n. 宽带,plans to provide rural areas with fast broadband,4
broadcast,/ˈbrɔːdkɑːst/,n. 播送,"(British English), a party political broadcast (= for example, before an election)",3
broadcaster,/ˈbrɔːdkɑːstə(r)/,n. 广播公司,She is a writer and broadcaster on environmental matters.,3
broadly,/ˈbrɔːdli/,adv. 广泛地,"Broadly speaking, I agree with you.",3
broken,/ˈbrəʊkən/,that has been damaged or injured; no longer whole or working correctly,a broken window/plate,1
brother,/ˈbrʌðə(r)/,n. 兄弟,We're brothers.,1
brown,/braʊn/,adj. 棕色的,brown eyes/hair,1
browser,/ˈbraʊzə(r)/,n. 浏览器,What do you use as your default browser?,4
brush,/brʌʃ/,n. 刷子,a paintbrush,1
brutal,/ˈbruːtl/,adj. 野蛮,a brutal attack/murder/rape/killing,4
bubble,/ˈbʌbl/,n. 气泡,champagne bubbles,2
buck,/bʌk/,n. 巴克,They cost ten bucks.,4
buddy,/ˈbʌdi/,n. 伙伴,an old college buddy of mine,4
budget,/ˈbʌdʒɪt/,n. 预算,an annual budget of £10 million ,3
buffer,/ˈbʌfə(r)/,n. 缓冲,"buffer against something, Support from family and friends acts as a buffer against stress.",4
